created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Feb 28 23:38:46 +0000 2023;1630714157426266117;"Kylian Mbappe performs complete U-turn on Cristiano Ronaldo and Lionel Messi debate. https://t.co/qUuo3tHkEe";2;47;54;1629;en;435225922;1630714157426266117;sportbible;https://twitter.com/sportbible/status/1630714157426266117
Tue Feb 28 23:31:01 +0000 2023;1630712204399112192;"When Lewandowski lost the Ballon D'Or to Messi in 2021, he didn't do this sort of disrespectful nonsense shenanigans on social media, and also didn't make himself look insecure.  And then there's Benzema, taking a page out of Ronaldo's insecurity book.";7;18;76;974;en;1429026737485225984;1630712204399112192;CourageFCB;https://twitter.com/CourageFCB/status/1630712204399112192
Tue Feb 28 23:00:00 +0000 2023;1630704398262317056;"Cristiano Ronaldo's comment on his teammates doing the "sleep" celebration. 😂 https://t.co/Sw2iZDiqNH";2;25;465;12482;en;2427599888;1630704398262317056;TimelineCR7;https://twitter.com/TimelineCR7/status/1630704398262317056
Tue Feb 28 22:52:50 +0000 2023;1630702595055443974;"Can’t even be annoyed by this bizarre tweet from Piers. This Arsenal fan saved our season by helping Ronaldo force his way out of the club. We’ll forever be indebted to him for that interview. Thank you, Piers 🙏";1;25;115;1447;en;19914889;1630702595055443974;R_o_M;https://twitter.com/R_o_M/status/1630702595055443974
Tue Feb 28 22:49:40 +0000 2023;1630701798368354308;"@eurofootcom He's moving like Ronaldo now😂 Never have i seen Messi post his accomplishments in a year he didn't win a ballon d'or or fifa the best😂 Messi finished fifth in rankings despite having the most goals, most assist, won the golden boot, etc buh he never cried about it";2;17;110;1678;en;1048269323381481472;1630700783258697729;Olabosipo9;https://twitter.com/Olabosipo9/status/1630701798368354308
Tue Feb 28 22:43:16 +0000 2023;1630700186300305408;"🚨| Cristiano Ronaldo is now set to receive a Carabao Cup medal from Manchester United.";60;65;130;2333;en;271502261;1630700186300305408;zeeshanxz;https://twitter.com/zeeshanxz/status/1630700186300305408
Tue Feb 28 22:32:55 +0000 2023;1630697583239725057;"Alvaro Fernandez:  "Cristiano Ronaldo is very nice to young players, and is very close to them." https://t.co/rkdSgTSEuN";2;9;130;3687;en;851933132970438656;1630697583239725057;IconicCristiano;https://twitter.com/IconicCristiano/status/1630697583239725057
Tue Feb 28 22:00:01 +0000 2023;1630689302488420353;"How many TOTWs is Ronaldo 🇵🇹 going to accumulate next year then? 😂  2 hat-tricks so far ⚽️ #FIFA23 https://t.co/Zz5bpNMqpn";2;23;11;955;en;1299384374832574464;1630689302488420353;DonkTrading;https://twitter.com/DonkTrading/status/1630689302488420353
Tue Feb 28 21:03:55 +0000 2023;1630675186063228929;"BREAKING: With 10 goalscoring contributions in just 4 matches, Cristiano Ronaldo wins Player of the Month of February in Saudi Arabia 💛 https://t.co/w2gWq0H2Di";0;25;90;1157;en;3363696155;1630675186063228929;slay_jimmy;https://twitter.com/slay_jimmy/status/1630675186063228929
Tue Feb 28 20:25:44 +0000 2023;1630665577369837660;"Do you like Cristiano Ronaldo? Do you like him because he played for Real Madrid?  Vitor Roque: "Not because he played for Madrid, but I like him because of his competitive mentality and his work on physical preparation. For me that is fundamental." https://t.co/XawYP1Tl1T";13;59;90;3408;en;885972982052597761;1630665577369837660;BarcaUniversal;https://twitter.com/BarcaUniversal/status/1630665577369837660
